study_obs_count,study,intervention_scale,arm_scale,intervention,arm,outcome,covidence,timepoint,scale,model_type,mean,r,n,sd,percent,se,range,median,ci,intervals,iqr,limits,dose_extract,type,class,chronic_condition,main_aim,design,title,sponsorship_source,authors_name,duration_weeks,pain_duration,inclusion_criteria,exclusion_criteria,total_number_of_participants_randomised,number_in_each_arm_comparators_treatments,number_in_each_arm_intervention_comparators,type_of_participant_e_g_people_with_cancer,type_of_participant_e_g_people_with_cancer_2,intervention_adverse_events,intervention_adverse_events_n_percent,withdrawal_total_per_arm_n_percent,withdrawal_total_percent,withdrawal_total_n,condition,condition_general,condition_iasp
2,dezanette 2014,amitriptyline x visual_analogue_scale_0_100,amitriptyline 25mg x visual_analogue_scale_0_100,amitriptyline,amitriptyline 25mg,pain_int,pain_intensity_100_mm_vas_cumulative_post_intervention_last_week_of_treatment,post_int,visual_analogue_scale_0_100,smd,50.02,NA,21,25.6,NA,5.586377990041406,NA,NA,NA,NA,NA,NA,,antidepressant,tca,fibromyalgia,pain,parallel group,"melatonin analgesia is associated with improvement of the descending endogenous pain-modulating system in fibromyalgia: a phase ii, randomized, double-dummy, controlled trial",funded by multiple brazilian agencies (no pharmaceutical companies),simone azevedo de zanette,NA,"nr, minimum pain duration for inclusion was 3 months.","we included 63 adult patients aged 18-years-old or older from among the pain and physiatristclinical outpatients of the hcpa and via newspaperpublicity. patients with fm were enrolled according toamerican college of rheumatology criteria [30]. to beeligible, patients had to be refractory to their currenttreatment. patients were required to have a score of atleast 50 mm on the 0-100 mm visual analogue scale(vas, which 0 means “no pain” and 100 means “worstpossible pain”) [31] during the baseline week precedingrandomization and to have completed at least four paindiaries out of seven. patients were allowed to remain onanalgesic medications, including drugs for which theywere refractory, and these medications could not beadjusted during the study. at screening, all patients underwent physical examination by a pain specialist and a psychiatric interview with a psychiatrist. patients could enroll with or without a history of major depressive disorder; however, it could not be the main reason for their functional impairment or study enrollment. subjects were recruited solely for fibromyalgia pain.","patients
were excluded if evidence was found of inflammatory
rheumatic disease, autoimmune disease or other painful
disorders that might confound the assessment of fibromyalgia pain or a history of substance abuse. patients
who were pregnant, breast-feeding or had a history of
neurologic or oncologic disease, ischemic heart disease,
kidney or hepatic insufficiency were also excluded.
patients who did not understand the portuguese
diagnosis of malignancies, severe psychiatric disorders , sleep disorders not related to fibromyalgia (apnea , sleepwalking , restless leg syndrome), alzheimer's disease or any disease (rheumatologic, neurological, etc.) that can modify the evaluations or outcomes
alcohol abuse or drug addiction
patients who are performing acupuncture
bmi greater than 35 ( bmi = body mass index) .
patients with history of allergy to amitriptyline or/and melatonin or any other contraindication for the use of these drugs",63,"melatonin: 21
amitriptyline: 21
amitriptyline + melatonin: 21",NA,adult females with fibromyalgia,NA,"regarding the side effects, in the amitriptyline
group, 38.09% (8/21) of patients presented minor side
effects (mse) (nausea, mild dizziness, weight gain, dry
mouth, and mild headache) and 23.8% (5/21) of patients
presented major side effects (mjse) (severe dizziness,
vivid nightmares, crippling drowsiness, severe headache,
behavioral changes, and pain worsening), with two withdraw.",NA,"total pre: 63 post: 57, withdrew: 6 (9.5%)",NA,NA,fibromyalgia,fibromyalgia,primary
2,dezanette 2014,melatonin and amitriptyline x visual_analogue_scale_0_100,melatonin 10mg + amitriptyline 25mg x visual_analogue_scale_0_100,melatonin and amitriptyline,melatonin 10mg + amitriptyline 25mg,pain_int,pain_intensity_100_mm_vas_cumulative_post_intervention_last_week_of_treatment,post_int,visual_analogue_scale_0_100,smd,48.64,NA,21,15.38,NA,3.356191151829563,NA,NA,NA,NA,NA,NA,,combination of hormone and antidepressant,tca+hormone,fibromyalgia,pain,parallel group,"melatonin analgesia is associated with improvement of the descending endogenous pain-modulating system in fibromyalgia: a phase ii, randomized, double-dummy, controlled trial",funded by multiple brazilian agencies (no pharmaceutical companies),simone azevedo de zanette,NA,"nr, minimum pain duration for inclusion was 3 months.","we included 63 adult patients aged 18-years-old or older from among the pain and physiatristclinical outpatients of the hcpa and via newspaperpublicity. patients with fm were enrolled according toamerican college of rheumatology criteria [30]. to beeligible, patients had to be refractory to their currenttreatment. patients were required to have a score of atleast 50 mm on the 0-100 mm visual analogue scale(vas, which 0 means “no pain” and 100 means “worstpossible pain”) [31] during the baseline week precedingrandomization and to have completed at least four paindiaries out of seven. patients were allowed to remain onanalgesic medications, including drugs for which theywere refractory, and these medications could not beadjusted during the study. at screening, all patients underwent physical examination by a pain specialist and a psychiatric interview with a psychiatrist. patients could enroll with or without a history of major depressive disorder; however, it could not be the main reason for their functional impairment or study enrollment. subjects were recruited solely for fibromyalgia pain.","patients
were excluded if evidence was found of inflammatory
rheumatic disease, autoimmune disease or other painful
disorders that might confound the assessment of fibromyalgia pain or a history of substance abuse. patients
who were pregnant, breast-feeding or had a history of
neurologic or oncologic disease, ischemic heart disease,
kidney or hepatic insufficiency were also excluded.
patients who did not understand the portuguese
diagnosis of malignancies, severe psychiatric disorders , sleep disorders not related to fibromyalgia (apnea , sleepwalking , restless leg syndrome), alzheimer's disease or any disease (rheumatologic, neurological, etc.) that can modify the evaluations or outcomes
alcohol abuse or drug addiction
patients who are performing acupuncture
bmi greater than 35 ( bmi = body mass index) .
patients with history of allergy to amitriptyline or/and melatonin or any other contraindication for the use of these drugs",63,"melatonin: 21
amitriptyline: 21
amitriptyline + melatonin: 21",NA,adult females with fibromyalgia,NA,"the association of melatonin + amitriptyline resulted in 14% (3/21) of patients experiencing mse,
whereas 28.57% (6/21) of patients presented mjse with
two withdrawals.",NA,"total pre: 63 post: 57, withdrew: 6 (9.5%)",NA,NA,fibromyalgia,fibromyalgia,primary
2,dickens 2000,placebo,placebo,placebo,placebo,pain_int,pain_vas_0_100_post_intervention_day_56,post_int,visual_analogue_scale_0_100,smd,57,NA,48,24.3,NA,3.507402885326977,NA,NA,NA,NA,NA,NA,,placebo,NA,"the majority of subjects had simple, nonspecific low back pain.
some subjects had multifocal pain resulting from associated fibromyalgia, but, in all cases, pain in the low back
was the predominant complaint.","pain, mood",parallel group,the relationship between pain and depression in a trial using paroxetine in sufferers of chronic low back pain,the authors thank smithkline beecham who funded this research.,chris dickens,NA,majority experienced pain for over one year.,"we screened patients (age range from 18 to 65 years)
who were attending the rheumatology outpatient clinic of
a u.k. hospital and complaining of low back pain. the
majority of subjects had simple, nonspecific low back pain.
some subjects had multifocal pain resulting from associated fibromyalgia, but, in all cases, pain in the low back
was the predominant complaint. inclusion criteria for the
study were low back pain for more than 6 months, significant depressive symptoms [montgomery asberg depression rating scale (madrs) score16], and significant
disability in daily living tasks [oswestry disability index
(odi) 30%].","we excluded subjects for the following reasons: if they
had any other significant physical/mental disorder; a systemic inflammatory disorder or malignancy; contraindications to taking paroxetine; taking opiates, corticosteriods,
or psychotropic medication other than temazepam up to 20
mg nocte; or recent surgery. 

details of concomitant medication were recorded at
each assessment. we excluded subjects found to have taken
any medications from those listed in the exclusion criteria.","98 randomised, 92 attended further assessment and form the itt group.","(itt dataset)
placebo: 48
paroxetine: 44",NA,adults with chronic low back pain,NA,nr,NA,six participants did not attend for assessment after randomisation and were not included in analysis.,NA,NA,low back pain,musculoskeletal,primary
2,dickens 2000,paroxetine x visual_analogue_scale_0_100,paroxetine 20mg x visual_analogue_scale_0_100,paroxetine,paroxetine 20mg,pain_int,pain_vas_0_100_post_intervention_day_56,post_int,visual_analogue_scale_0_100,smd,57,NA,44,23.8,NA,3.587985000475387,NA,NA,NA,NA,NA,NA,,antidepressant,ssri,"the majority of subjects had simple, nonspecific low back pain.
some subjects had multifocal pain resulting from associated fibromyalgia, but, in all cases, pain in the low back
was the predominant complaint.","pain, mood",parallel group,the relationship between pain and depression in a trial using paroxetine in sufferers of chronic low back pain,the authors thank smithkline beecham who funded this research.,chris dickens,NA,majority experienced pain for over one year.,"we screened patients (age range from 18 to 65 years)
who were attending the rheumatology outpatient clinic of
a u.k. hospital and complaining of low back pain. the
majority of subjects had simple, nonspecific low back pain.
some subjects had multifocal pain resulting from associated fibromyalgia, but, in all cases, pain in the low back
was the predominant complaint. inclusion criteria for the
study were low back pain for more than 6 months, significant depressive symptoms [montgomery asberg depression rating scale (madrs) score16], and significant
disability in daily living tasks [oswestry disability index
(odi) 30%].","we excluded subjects for the following reasons: if they
had any other significant physical/mental disorder; a systemic inflammatory disorder or malignancy; contraindications to taking paroxetine; taking opiates, corticosteriods,
or psychotropic medication other than temazepam up to 20
mg nocte; or recent surgery. 

details of concomitant medication were recorded at
each assessment. we excluded subjects found to have taken
any medications from those listed in the exclusion criteria.","98 randomised, 92 attended further assessment and form the itt group.","(itt dataset)
placebo: 48
paroxetine: 44",NA,adults with chronic low back pain,NA,nr,NA,six participants did not attend for assessment after randomisation and were not included in analysis.,NA,NA,low back pain,musculoskeletal,primary
2,drossman 2003,placebo,placebo,placebo,placebo,pain_int,average_of_pain_rating_index_mc_gill_pain_questionnaire_itt_sample_post_intervention_m_se,post_int,mcgill_pain_questionnaire,smd,10.73,NA,66,0.83,NA,0.10216593751284615,NA,NA,NA,NA,NA,NA,,placebo,NA,functional bowel disorders,functional bowel disorder symptoms,parallel group,cognitive-behavioral therapy versus education and desipramine versus placebo for moderate to severe functional bowel disorders,"supported by a research grant from the national institutes of health
(ro1-dk49334). national institute of diabetes and digestive and kidney diseases (niddk).",douglas a. drossman,NA,at least six months to be included in study,literate women (who were screened to achieve at least a seventh-grade reading level) aged 18–70 years with moderate to severe abdominal pain with or without altered bowel habit (fbd) for at least 2 days per week for 6 months or more were eligible to participate.,"eligible participants were excluded if they had heart disease, glaucoma, pregnancy, urinary retention, bipolar disorder, schizophrenia, or substance abuse/dependency; any gastrointestinal disorder that would explain the gastrointestinal symptoms; another psychiatric disorder that would preclude participation in the study; an unwillingness to discontinue anticholinergic medication, calcium channel blockers, or antidepressants (for 3 months); had previously taken des; or did not use an acceptable method of birth control.",431,"placebo: 72
desipramine: 144 
cbt: 144
edu: 71",NA,women with moderate to severe functional bowel disorders,NA,3 participants withdrew due to ae,NA,"total pre: 431, post: 337, withdrew: 94 (21.95%)",NA,NA,pain from bowel disorder,abdominal pain,visceral
2,drossman 2003,desipramine x mcgill_pain_questionnaire,desipramine - 150mg x mcgill_pain_questionnaire,desipramine,desipramine - 150mg,pain_int,average_of_pain_rating_index_mc_gill_pain_questionnaire_itt_sample_post_intervention_m_se,post_int,mcgill_pain_questionnaire,smd,8.94,NA,135,0.62,NA,0.053361103881079966,NA,NA,NA,NA,NA,NA,,antidepressant,tca,functional bowel disorders,functional bowel disorder symptoms,parallel group,cognitive-behavioral therapy versus education and desipramine versus placebo for moderate to severe functional bowel disorders,"supported by a research grant from the national institutes of health
(ro1-dk49334). national institute of diabetes and digestive and kidney diseases (niddk).",douglas a. drossman,NA,at least six months to be included in study,literate women (who were screened to achieve at least a seventh-grade reading level) aged 18–70 years with moderate to severe abdominal pain with or without altered bowel habit (fbd) for at least 2 days per week for 6 months or more were eligible to participate.,"eligible participants were excluded if they had heart disease, glaucoma, pregnancy, urinary retention, bipolar disorder, schizophrenia, or substance abuse/dependency; any gastrointestinal disorder that would explain the gastrointestinal symptoms; another psychiatric disorder that would preclude participation in the study; an unwillingness to discontinue anticholinergic medication, calcium channel blockers, or antidepressants (for 3 months); had previously taken des; or did not use an acceptable method of birth control.",431,"placebo: 72
desipramine: 144 
cbt: 144
edu: 71",NA,women with moderate to severe functional bowel disorders,NA,23 participants withdrew due to ae,NA,"total pre: 431, post: 337, withdrew: 94 (21.95%)",NA,NA,pain from bowel disorder,abdominal pain,visceral
2,dsrhv 2018,amitriptyline x visual_analogue_scale_0_10,amitriptyline 10mg x visual_analogue_scale_0_10,amitriptyline,amitriptyline 10mg,pain_int,pain_vas_0_10_post_intervention,post_int,visual_analogue_scale_0_10,smd,3.43,NA,21,2.5,NA,0.545544725589981,NA,NA,NA,NA,NA,NA,,antidepressant,tca,temporomandibular disorders,pain,parallel group,comparative study of conservative therapies for dysfunction chronic muscular temporomandibular: blind controlled randomized clinical trial,thanks the capes scholarship for fund,kadidja claudia maia e machado,NA,at least six months to be included in study,"the inclusion criteria were: 1) female gender; 2) age between 18 and 59 years; 3) diagnosis of myofascial pain using the rdc / tmd - research tool diagnostic criteria for temporomandibular disorders (appendix c) - with dysfunction chronic myofascial temporomandibular disorder (tmd), grade ii or iii, axis i and ii; 4) occlusal contacts adequate bilateral between molars and premolars; 5) history of orofacial pain at least during the past six months; 6) absence of previous treatment for pain; 7) intensity of muscle pain equal to or greater than 7 on a visual analogue scale (vas) from 0 to 10; 8) good receptivity and understanding of spoken portuguese, ability to provide informed consent free and informed, as well as the availability to attend the returns of evaluation","participation was not possible when some of the following situations were observed: 1) abuse of alcohol or illicit drugs; 2) use of antidepressant medications or antipsychotics during and in the three months prior to the research; 3) hypersensitivity to drugs proposed in the research; 4) history of rheumatic or vascular disease, disorders neurological disorders or any systemic-based alteration, patients with motor disorders or mental, or other chronic illnesses; 5) pregnant women; 6) patients who suffered some type of macrotrauma on the face.",96,"control: 24
amitriptyline: 24
amitriptyline + splint: 24
acupuncture: 24",NA,women aged 18-59 with chronic temporomandibular pain,NA,n,NA,"total pre: 96, post: 78, withdrew: 18 (18.75%)",NA,NA,temporomandibular disorder,orofacial pain,orofacial pain
2,dsrhv 2018,amitriptyline + splint x visual_analogue_scale_0_10,amitriptyline 10mg + splint x visual_analogue_scale_0_10,amitriptyline + splint,amitriptyline 10mg + splint,pain_int,pain_vas_0_10_post_intervention,post_int,visual_analogue_scale_0_10,smd,3.65,NA,23,3.32,NA,0.6922678546694883,NA,NA,NA,NA,NA,NA,,antidepressant + splint,tca,temporomandibular disorders,pain,parallel group,comparative study of conservative therapies for dysfunction chronic muscular temporomandibular: blind controlled randomized clinical trial,thanks the capes scholarship for fund,kadidja claudia maia e machado,NA,at least six months to be included in study,"the inclusion criteria were: 1) female gender; 2) age between 18 and 59 years; 3) diagnosis of myofascial pain using the rdc / tmd - research tool diagnostic criteria for temporomandibular disorders (appendix c) - with dysfunction chronic myofascial temporomandibular disorder (tmd), grade ii or iii, axis i and ii; 4) occlusal contacts adequate bilateral between molars and premolars; 5) history of orofacial pain at least during the past six months; 6) absence of previous treatment for pain; 7) intensity of muscle pain equal to or greater than 7 on a visual analogue scale (vas) from 0 to 10; 8) good receptivity and understanding of spoken portuguese, ability to provide informed consent free and informed, as well as the availability to attend the returns of evaluation","participation was not possible when some of the following situations were observed: 1) abuse of alcohol or illicit drugs; 2) use of antidepressant medications or antipsychotics during and in the three months prior to the research; 3) hypersensitivity to drugs proposed in the research; 4) history of rheumatic or vascular disease, disorders neurological disorders or any systemic-based alteration, patients with motor disorders or mental, or other chronic illnesses; 5) pregnant women; 6) patients who suffered some type of macrotrauma on the face.",96,"control: 24
amitriptyline: 24
amitriptyline + splint: 24
acupuncture: 24",NA,women aged 18-59 with chronic temporomandibular pain,NA,n,NA,"total pre: 96, post: 78, withdrew: 18 (18.75%)",NA,NA,temporomandibular disorder,orofacial pain,orofacial pain
2,eberhard 1988,maprotiline x visual_analogue_scale_0_100,maprotiline (25-150mg) x visual_analogue_scale_0_100,maprotiline,maprotiline (25-150mg),pain_int,pain_vas_0_100_post_intervention,post_int,visual_analogue_scale_0_100,smd,62,NA,27,26.2,NA,5.042192350922732,NA,NA,NA,NA,NA,NA,,antidepressant,tetracyclic (teca),"idiopathic pain syndrome (as defined by williams and spitzer, 1982). most patients had more than one symptom and majority of patients had moderate to severe pain in the head region and/or chronic pain in neck, shoulders, arms and/or back.",pain,parallel group,a double-blind randomized study of clomipramine versus maprotiline in patients with idiopathic pain syndromes,nr,goran eberhard,NA,average pain duration of participants: 5.0 ± 5.8 years (range 0.5 - 28 years).,"fulfilled diagnosis of idiopathic pain syndromes according to criteria given by williams and spitzer (1982), comparable to somatoform pain disorder in dsm-iii r. all patients had undergone a thorough clinical examination if necessary including x-ray investigations and laboratory tests to exclude the presence of a severe somatic disease.","exclusion criteria were major depressive disorder (dsm-iii), other psychiatric illnesses and clinically relevant contraindications towards the use of antidepressant agents. no antidepressive treatments for the previous 3 months, no other cns-active drugs and no abuse of drugs were permitted.",70,"maprotiline: 30
clomipramine: 40",NA,adults with idiopathic pain syndromes,NA,1 patient excluded due to disturbing side effects,NA,"18 patients in total excluded (25.7%)
maprotiline: 5 (16.6%)
clomipramine: 13 (32.5%)",NA,NA,unspecified chronic pain syndrome,primary,primary
2,eberhard 1988,clomipramine x visual_analogue_scale_0_100,clomipramine (25-150mg) x visual_analogue_scale_0_100,clomipramine,clomipramine (25-150mg),pain_int,pain_vas_0_100_post_intervention,post_int,visual_analogue_scale_0_100,smd,45.4,NA,27,29,NA,5.581052602166382,NA,NA,NA,NA,NA,NA,,antidepressant,tca,"idiopathic pain syndrome (as defined by williams and spitzer, 1982). most patients had more than one symptom and majority of patients had moderate to severe pain in the head region and/or chronic pain in neck, shoulders, arms and/or back.",pain,parallel group,a double-blind randomized study of clomipramine versus maprotiline in patients with idiopathic pain syndromes,nr,goran eberhard,NA,average pain duration of participants: 5.0 ± 5.8 years (range 0.5 - 28 years).,"fulfilled diagnosis of idiopathic pain syndromes according to criteria given by williams and spitzer (1982), comparable to somatoform pain disorder in dsm-iii r. all patients had undergone a thorough clinical examination if necessary including x-ray investigations and laboratory tests to exclude the presence of a severe somatic disease.","exclusion criteria were major depressive disorder (dsm-iii), other psychiatric illnesses and clinically relevant contraindications towards the use of antidepressant agents. no antidepressive treatments for the previous 3 months, no other cns-active drugs and no abuse of drugs were permitted.",70,"maprotiline: 30
clomipramine: 40",NA,adults with idiopathic pain syndromes,NA,8 patients excluded due to disturbing side effects,NA,"18 patients in total excluded (25.7%)
maprotiline: 5 (16.6%)
clomipramine: 13 (32.5%)",NA,NA,unspecified chronic pain syndrome,primary,primary
2,ginsberg 1996,placebo,placebo,placebo,placebo,pain_int,pain_vas_0_10_8_weeks_post_intervention,post_int,visual_analogue_scale_0_10,smd,7,NA,22,1.3,NA,0.2771609312622936,NA,NA,NA,NA,NA,NA,,placebo,NA,fibromyalgia,pain,parallel group,a randomized placebo-controlled trial of sustained-release amitriptyline in primary fibromyalgia,nr,franics ginsberg,NA,at least three months to be included in study,"patients of either sex, who agreed to participate in this study, could be enrolled if they met the ""acr 1990 criteria for the classification of fibromyalgia""; history of widespread pain for at least three months and pain in at least 11 of 18 specific tender point sites on digital palpitation. only patients with primary fs i.e., fibromyalgia occurring in the absence of another significant rheumatic condition, were eligible for entry into the study.","patients were excluded if they showed evidence of the following: childbearing potential, pregnancy, lactation, closed-angle glaucoma, risk of urinary retention, history of myocardial infarction or of epilepsy, severe congestive heart failure, significant cardiac arrhythmia, or cardiac conduction defect. they were also to be excluded if they were unable to discontinue drugs containing vitamin d or magnesium, muscle relaxants, analgesics except paracetamol, anti-inflammatory medications, antidepressants, sleeping medications, tranquillizers or any other central nervous system active medication at entry into the study. finally, the following were also grounds for exclusion: treatment with amitriptyline within six months prior to entry into the study; demonstrated hypersensitivity to amitriptyline, to other tricyclics or to paracetamol; use of monoamine-oxydase inhibitors within three weeks prior to the start of the study medication.",51,"placebo: 22
amitriptyline: 24",NA,people with primary fibromyalgia,NA,n,NA,"total withdrawal: 9/51 (17.6%)
5 participants were lost to follow up after inclusion
4 permanently discontinued study medication",NA,NA,fibromyalgia,fibromyalgia,primary
2,ginsberg 1996,amitriptyline x visual_analogue_scale_0_10,amitriptyline 25mg x visual_analogue_scale_0_10,amitriptyline,amitriptyline 25mg,pain_int,pain_vas_0_10_8_weeks_post_intervention,post_int,visual_analogue_scale_0_10,smd,3.8,NA,24,2.4,NA,0.48989794855663565,NA,NA,NA,NA,NA,NA,,antidepressant,tca,fibromyalgia,pain,parallel group,a randomized placebo-controlled trial of sustained-release amitriptyline in primary fibromyalgia,nr,franics ginsberg,NA,at least three months to be included in study,"patients of either sex, who agreed to participate in this study, could be enrolled if they met the ""acr 1990 criteria for the classification of fibromyalgia""; history of widespread pain for at least three months and pain in at least 11 of 18 specific tender point sites on digital palpitation. only patients with primary fs i.e., fibromyalgia occurring in the absence of another significant rheumatic condition, were eligible for entry into the study.","patients were excluded if they showed evidence of the following: childbearing potential, pregnancy, lactation, closed-angle glaucoma, risk of urinary retention, history of myocardial infarction or of epilepsy, severe congestive heart failure, significant cardiac arrhythmia, or cardiac conduction defect. they were also to be excluded if they were unable to discontinue drugs containing vitamin d or magnesium, muscle relaxants, analgesics except paracetamol, anti-inflammatory medications, antidepressants, sleeping medications, tranquillizers or any other central nervous system active medication at entry into the study. finally, the following were also grounds for exclusion: treatment with amitriptyline within six months prior to entry into the study; demonstrated hypersensitivity to amitriptyline, to other tricyclics or to paracetamol; use of monoamine-oxydase inhibitors within three weeks prior to the start of the study medication.",51,"placebo: 22
amitriptyline: 24",NA,people with primary fibromyalgia,NA,n,NA,"total withdrawal: 9/51 (17.6%)
5 participants were lost to follow up after inclusion
4 permanently discontinued study medication",NA,NA,fibromyalgia,fibromyalgia,primary
2,ginsberg 1998,placebo,placebo,placebo,placebo,pain_int,pain_vas_0_10cm_post_intervention,post_int,visual_analogue_scale_0_10,smd,6.79,NA,28,1.53,NA,0.2891428218520588,NA,NA,NA,NA,NA,NA,,placebo,NA,fibromyalgia,pain,parallel group,a pilot randomized placebo-controlled study of pirlindole in the treatment of primary fibromyalgia,nr,francis ginsberg,NA,at least three months to be included in study,"outpatients with primary fms i.e., fms occurring in the absence of any other significant rheumatic condition, were eligible for entry into the study. the inclusion criteria were: male or female, aged between 18 adn 75 years, history of widespread pain for at least 3 months, pain on digital palpitation [4kg] must be present in at least 11 of the 18 classical tender point sites.","inability to give his/her informed consent, pregnancy or lactation, inability to be withdrawn from antidepressants, sleeping medications, anti-inflammatory drugs, muscle relaxants, tranquilizers and/or any other central nervous system medication, severe cardiac disease, any other disease sufficient to produce clinical problems during the study, any biochemical or haematological abnormality clinically significant and likely to interfere with the interpretation of the results.",100,"pirlindole: 50
placebo: 50",NA,adults with fibromyalgia,NA,3 participants withdrew due to ae,NA,total withdrawal: 39/100 (39%),NA,NA,fibromyalgia,fibromyalgia,primary
2,ginsberg 1998,pirlindole x visual_analogue_scale_0_10,pirlindole 150mg x visual_analogue_scale_0_10,pirlindole,pirlindole 150mg,pain_int,pain_vas_0_10cm_post_intervention,post_int,visual_analogue_scale_0_10,smd,4.85,NA,33,2.11,NA,0.36730385406652244,NA,NA,NA,NA,NA,NA,,antidepressant,reversible maoi,fibromyalgia,pain,parallel group,a pilot randomized placebo-controlled study of pirlindole in the treatment of primary fibromyalgia,nr,francis ginsberg,NA,at least three months to be included in study,"outpatients with primary fms i.e., fms occurring in the absence of any other significant rheumatic condition, were eligible for entry into the study. the inclusion criteria were: male or female, aged between 18 adn 75 years, history of widespread pain for at least 3 months, pain on digital palpitation [4kg] must be present in at least 11 of the 18 classical tender point sites.","inability to give his/her informed consent, pregnancy or lactation, inability to be withdrawn from antidepressants, sleeping medications, anti-inflammatory drugs, muscle relaxants, tranquilizers and/or any other central nervous system medication, severe cardiac disease, any other disease sufficient to produce clinical problems during the study, any biochemical or haematological abnormality clinically significant and likely to interfere with the interpretation of the results.",100,"pirlindole: 50
placebo: 50",NA,adults with fibromyalgia,NA,6 participants withdrew due to ae,NA,total withdrawal: 39/100 (39%),NA,NA,fibromyalgia,fibromyalgia,primary
2,goldman 2010,placebo,placebo,placebo,placebo,pain_int,pain_intensity_10_point_scale_post_intervention,post_int,visual_analogue_scale_0_10,smd,3.9,NA,59,1.9,NA,0.24735893086356533,NA,NA,NA,NA,NA,NA,,placebo,NA,"arm pain -  we included individuals with a range of clinical diagnoses involving the tendons, soft tissues and nerves of the arm, as well as those with non-specific arm symptoms related to movement (‘‘overuse strain syndrome”).",pain and function,parallel group,low-dose amitriptyline for treatment of persistent arm pain due to repetitive use,"this study was supported by grants 1ro1 at 00402-01 and 1k24 at 004095 from the national center for complementary and alternative medicine (nccam) at the national institutes of health, bethesda, md",rose h. goldman,NA,"minimum three months for inclusion, two-thirds of participants had symptoms for 1 year or more.","adults (at least 18 years
old) with distal upper extremity pain associated with repetitive
use or prolonged static postures that had persisted for at least
3 months, had received some prior treatment, and reported pain
intensity of 3 or greater on a 10-point numerical pain scale. we included individuals with a range of clinical diagnoses involving the tendons, soft tissues and nerves of the arm, as well as those with
non-specific arm symptoms related to movement (‘‘overuse strain
syndrome”).","we excluded persons with systemic connective tissue or muscular diseases, neurological disorders (e.g. cerebrovascular accidents, cervical disc disease), pregnancy, acute trauma to the affected arm, use of medications that interact with amitriptyline, medical illnesses that could be adversely affected by amitriptyline, and previous treatment with amitriptyline for arm pain, or prior use of amitriptyline within 1 year for any problem.",118,"placebo: 59
amitriptyline: 59",NA,adults with chronic arm pain from repetitive use,NA,27% reported any side effect.,NA,"amitriptyline: 52 completed 6 weeks of treatment, 51 returned for post-treatment assessment.
placebo:  55 completed 6 weeks of treatment, 55 returned for post-treatment assessment.",NA,NA,NA,NA,NA
2,goldman 2010,amitriptyline x visual_analogue_scale_0_10,amitriptyline 25mg x visual_analogue_scale_0_10,amitriptyline,amitriptyline 25mg,pain_int,pain_intensity_10_point_scale_post_intervention,post_int,visual_analogue_scale_0_10,smd,4,NA,59,1.8,NA,0.23434003976548298,NA,NA,NA,NA,NA,NA,,antidepressant,tca,"arm pain -  we included individuals with a range of clinical diagnoses involving the tendons, soft tissues and nerves of the arm, as well as those with non-specific arm symptoms related to movement (‘‘overuse strain syndrome”).",pain and function,parallel group,low-dose amitriptyline for treatment of persistent arm pain due to repetitive use,"this study was supported by grants 1ro1 at 00402-01 and 1k24 at 004095 from the national center for complementary and alternative medicine (nccam) at the national institutes of health, bethesda, md",rose h. goldman,NA,"minimum three months for inclusion, two-thirds of participants had symptoms for 1 year or more.","adults (at least 18 years
old) with distal upper extremity pain associated with repetitive
use or prolonged static postures that had persisted for at least
3 months, had received some prior treatment, and reported pain
intensity of 3 or greater on a 10-point numerical pain scale. we included individuals with a range of clinical diagnoses involving the tendons, soft tissues and nerves of the arm, as well as those with
non-specific arm symptoms related to movement (‘‘overuse strain
syndrome”).","we excluded persons with systemic connective tissue or muscular diseases, neurological disorders (e.g. cerebrovascular accidents, cervical disc disease), pregnancy, acute trauma to the affected arm, use of medications that interact with amitriptyline, medical illnesses that could be adversely affected by amitriptyline, and previous treatment with amitriptyline for arm pain, or prior use of amitriptyline within 1 year for any problem.",118,"placebo: 59
amitriptyline: 59",NA,adults with chronic arm pain from repetitive use,NA,"during treatment, two participants in the amitriptyline group discontinued treatment because of presumed side effects.sae: none attributable to amitriptyline. 53% reported any side-effect.",NA,"amitriptyline: 52 completed 6 weeks of treatment, 51 returned for post-treatment assessment.
placebo:  55 completed 6 weeks of treatment, 55 returned for post-treatment assessment.",NA,NA,NA,NA,NA
